alpha,arrivals_early,arrivals_late,arrivals_on_time,beta,capacity,config,distance_total,exec_s,gamma,history_last,lambda_weight,length_speed_kph,max_operation_time,min_travel_minutes,mu_weight,n_ants,n_iters,objective_cost,pct_on_time,penalty_alpha,penalty_beta,penalty_capacity,penalty_gamma,penalty_time,penalty_total,penalty_window,q,rho,run,scenario,status,targets,time_factor,total_time,unload_time,weight
1.0,1,0,9,2.0,20.0,length_iters120,5929.130162569023,0.3401299540000764,1.0,6010.003317754667,1.0,18.0,600.0,1.5,1.0,30,120,6010.003317754667,90.0,1.0,1.0,0.0,1.0,0.0,80.87315518564378,80.87315518564378,100.0,0.5,3,E1_small,ok,10,5.0,280.82663952802295,10,length
0.8,1,0,9,2.0,20.0,length_alpha0.8,5434.806720216386,0.22726456100008363,1.0,5577.527228704462,1.0,18.0,600.0,1.5,1.0,30,80,5577.527228704462,90.0,1.0,1.0,0.0,1.0,0.0,142.72050848807578,142.72050848807578,100.0,0.5,3,E1_small,ok,10,5.0,334.4352687912443,10,length
1.2,1,0,9,2.0,20.0,length_alpha1.2,6164.518411011186,0.22651118800058612,1.0,6311.873567798823,1.0,18.0,600.0,1.5,1.0,30,80,6311.873567798823,90.0,1.0,1.0,0.0,1.0,0.0,147.35515678763772,147.35515678763772,100.0,0.5,3,E1_small,ok,10,5.0,351.2317786040528,10,length
1.0,1,0,9,1.5,20.0,length_beta1.5,5434.806720216386,0.22596053600045707,1.0,5582.161877004023,1.0,18.0,600.0,1.5,1.0,30,80,5582.161877004023,90.0,1.0,1.0,0.0,1.0,0.0,147.35515678763772,147.35515678763772,100.0,0.5,3,E1_small,ok,10,5.0,339.06991709080614,10,length
1.0,1,0,9,2.5,20.0,length_beta2.5,5196.557521533378,0.2280316300002596,1.0,5339.2780300214545,1.0,18.0,600.0,1.5,1.0,30,80,5339.2780300214545,90.0,1.0,1.0,0.0,1.0,0.0,142.72050848807578,142.72050848807578,100.0,0.5,3,E1_small,ok,10,5.0,330.46444881319405,10,length
1.0,1,0,9,2.0,20.0,length_gamma0.7,5444.587347654807,0.23046428199995717,0.7,5587.307856142883,1.0,18.0,600.0,1.5,1.0,30,80,5587.307856142883,90.0,1.0,1.0,0.0,1.0,0.0,142.72050848807578,142.72050848807578,100.0,0.5,3,E1_small,ok,10,5.0,334.5982792485513,10,length
1.0,1,0,9,2.0,20.0,length_gamma1.3,5444.587347654807,0.22876327199992375,1.3,5587.307856142883,1.0,18.0,600.0,1.5,1.0,30,80,5587.307856142883,90.0,1.0,1.0,0.0,1.0,0.0,142.72050848807578,142.72050848807578,100.0,0.5,3,E1_small,ok,10,5.0,334.5982792485513,10,length
1.0,1,0,9,2.0,20.0,length_rho0.3,5196.557521533378,0.22700652699950297,1.0,5339.2780300214545,1.0,18.0,600.0,1.5,1.0,30,80,5339.2780300214545,90.0,1.0,1.0,0.0,1.0,0.0,142.72050848807578,142.72050848807578,100.0,0.3,3,E1_small,ok,10,5.0,330.46444881319405,10,length
1.0,2,1,7,2.0,20.0,length_rho0.7,5704.478623499722,0.23242267399928096,1.0,5898.692832302973,1.0,18.0,600.0,1.5,1.0,30,80,5898.692832302973,70.0,1.0,1.0,0.0,1.0,0.0,194.21420880325195,194.21420880325195,100.0,0.7,3,E1_small,ok,10,5.0,334.8112325933862,10,length
1.0,2,0,8,2.0,20.0,street_time_base,550.9544835359588,0.2034234889997606,1.0,621.9353313016035,1.0,18.0,600.0,1.5,1.0,30,80,621.9353313016035,80.0,1.0,1.0,0.0,1.0,0.0,70.98084776564463,70.98084776564463,100.0,0.5,3,E1_small,ok,10,5.0,218.2841158835099,10,street_time
1.0,2,0,8,2.0,20.0,street_time_ants20,468.57481473320394,0.14562311700046848,1.0,566.3871663066066,1.0,18.0,600.0,1.5,1.0,20,80,566.3871663066066,80.0,1.0,1.0,0.0,1.0,0.0,97.81235157340262,97.81235157340262,100.0,0.5,3,E1_small,ok,10,5.0,238.25064729103826,10,street_time
1.0,3,0,7,2.0,20.0,street_time_ants40,471.5571598826217,0.27667300299981434,1.0,559.1544512860446,1.0,18.0,600.0,1.5,1.0,40,80,559.1544512860446,70.0,1.0,1.0,0.0,1.0,0.0,87.5972914034229,87.5972914034229,100.0,0.5,3,E1_small,ok,10,5.0,228.2841158835099,10,street_time
1.0,1,0,9,2.0,20.0,street_time_iters50,520.5866344640633,0.13400735300001543,1.0,607.5768533794667,1.0,18.0,600.0,1.5,1.0,30,50,607.5768533794667,90.0,1.0,1.0,0.0,1.0,0.0,86.99021891540332,86.99021891540332,100.0,0.5,3,E1_small,ok,10,5.0,231.76283294394386,10,street_time
1.0,1,0,9,2.0,20.0,street_time_iters120,477.4353199130677,0.31478997000067466,1.0,564.425538828471,1.0,18.0,600.0,1.5,1.0,30,120,564.425538828471,90.0,1.0,1.0,0.0,1.0,0.0,86.99021891540332,86.99021891540332,100.0,0.5,3,E1_small,ok,10,5.0,228.16689006469426,10,street_time
